Path,# vertices,# edges,# paths,# path constr,# unique path constr,path time,# cycles,# cycles constr,# unique cycle constr,cycle time,gurobi time,duration time
..\DataSets\DelayGraph_74.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_75.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_76.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_77.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_78.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_83.graphml,120,134,88,19,2,9.000062942504883,3,3,3,13.000011444091797,15.000104904174805,37.000179290771484,
..\DataSets\DelayGraph_86.graphml,118,138,677,0,0,45.00007629394531,5,5,5,13.99993896484375,50.99987983703613,109.9998950958252,
..\DataSets\DelayGraph_87.graphml,171,201,2762,0,0,200.99997520446777,10,10,10,26.999950408935547,213.99998664855957,441.9999122619629,
..\DataSets\DelayGraph_93.graphml,113,133,461,0,0,37.999868392944336,12,12,12,16.000032424926758,44.00014877319336,98.00004959106445,
..\DataSets\DelayGraph_95.graphml,218,261,8685,0,0,770.9999084472656,24,24,24,42.999982833862305,1330.0001621246338,2144.0000534057617,
..\DataSets\DelayGraph_97.graphml,61,69,80,0,0,7.999897003173828,6,6,6,6.000041961669922,13.99993896484375,27.9998779296875,
..\DataSets\DelayGraph_98.graphml,120,134,88,19,2,4.000186920166016,3,3,3,13.000011444091797,16.000032424926758,33.00023078918457,
..\DataSets\DelayGraph_99.graphml,111,125,79,0,0,5.000114440917969,3,3,3,11.999845504760742,13.000011444091797,29.999971389770508,
..\DataSets\DelayGraph_103.graphml,118,138,677,0,0,53.00021171569824,5,5,5,13.000011444091797,46.99993133544922,113.00015449523926,
..\DataSets\DelayGraph_107.graphml,218,261,8685,0,0,811.0001087188721,24,24,24,37.999868392944336,1325.0000476837158,2174.000024795532,
..\DataSets\DelayGraph_109.graphml,61,69,80,0,0,4.000186920166016,6,6,6,4.999876022338867,10.999917984008789,19.999980926513672,
..\DataSets\DelayGraph_112.graphml,111,125,79,0,0,3.999948501586914,3,3,3,11.00015640258789,15.000104904174805,30.00020980834961,
..\DataSets\DelayGraph_116.graphml,1403,1864,7865,0,0,498.0001449584961,74,14,11,445.9998607635498,476.0000705718994,1420.0000762939453,
..\DataSets\DelayGraph_119.graphml,8,6,2,0,0,0.0,0,0,0,1.0001659393310547,0.0,1.0001659393310547,
..\DataSets\DelayGraph_120.graphml,8,6,2,0,0,0.0,0,0,0,1.0001659393310547,0.0,1.0001659393310547,
..\DataSets\DelayGraph_121.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_122.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_123.graphml,8,6,2,0,0,0.0,0,0,0,1.0001659393310547,0.0,1.0001659393310547,
..\DataSets\DelayGraph_124.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_125.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_126.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_127.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
