GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1057.graphml,1,93,130,3,3333,3330,4178.99990081787,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1058.graphml,1,93,130,3,3333,3330,4131.99973106384,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1059.graphml,64,128,176,115,5000,4885,2332.00001716614,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1064.graphml,36,63,32,35,2857,2822,37.9998683929443,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1065.graphml,0,63,153,14,2500,2486,24.9998569488525,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1066.graphml,76,118,300,77,2500,2423,303.000211715698, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1068.graphml,76,118,300,77,2500,2423,333.000183105469, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1069.graphml,0,63,153,14,2500,2486,24.0001678466797,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_107.graphml,5,18,240,97466,100000,2534,2198.99988174438,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1070.graphml,16,36,16,1277,3333,2056,6.00004196166992,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1071.graphml,19,90,144,60,2857,2797,39.9997234344482,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1072.graphml,15,33,120,1933,5000,3067,18.0001258850098, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1073.graphml,0,0,0,2710,5000,2290,28.0001163482666,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1074.graphml,0,0,0,2710,5000,2290,34.0001583099365,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1075.graphml,1,6,48,22,2777,2755,16.0000324249268,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1076.graphml,0,23,0,225,1923,1698,3.00002098083496,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1079.graphml,19,80,56,0,7147,7147,72.9999542236328,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1081.graphml,0,23,0,225,1923,1698,1.99985504150391,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1082.graphml,0,100,32,525,3333,2808,5.00011444091797,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1083.graphml,0,0,0,2110,2500,390,3.00002098083496,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1084.graphml,0,0,0,2110,2500,390,1.99985504150391,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1085.graphml,0,0,0,2110,2500,390,2.00009346008301,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1086.graphml,5,20,151,309,2500,2191,26.0000228881836,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1087.graphml,0,2,256,245,2500,2255,31.9998264312744, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1088.graphml,0,2,256,245,2500,2255,17.9998874664307, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1089.graphml,0,1,64,177,2500,2323,20.0002193450928,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_109.graphml,18,18,18,97673,100000,2327,19.9999809265137,*
