GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1059.graphml,128,128,379,115,5000,4885,16.9604, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1064.graphml,36,72,112,69,2857,2788,0.9254, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1065.graphml,0,63,242,14,2500,2486,0.557, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1066.graphml,38,42,262,65,2500,2435,1.1147,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1068.graphml,38,42,262,65,2500,2435,1.0465,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1069.graphml,0,63,242,14,2500,2486,0.4536, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_107.graphml,5,18,240,97346,100000,2654,1.8646, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1070.graphml,16,36,16,1010,3333,2323,0.2448, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1071.graphml,19,90,304,60,2857,2797,0.9254, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1072.graphml,15,33,120,2203,5000,2797,0.5032,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1073.graphml,0,0,0,2710,5000,2290,2.0578,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1074.graphml,0,0,0,2710,5000,2290,2.6912,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1075.graphml,1,6,48,22,2777,2755,0.4392,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1076.graphml,0,23,0,225,1923,1698,0.1246,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1079.graphml,19,80,56,0,7147,7147,1.1871,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1081.graphml,0,23,0,225,1923,1698,0.2187,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1082.graphml,0,100,64,525,3333,2808,0.3275, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1083.graphml,0,0,0,2110,2500,390,0.5582,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1084.graphml,0,0,0,2110,2500,390,0.548,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1085.graphml,0,0,0,2110,2500,390,1.3022,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1086.graphml,10,20,1014,240,2500,2260,1.3592, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1087.graphml,0,1,160,245,2500,2255,1.4295,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1088.graphml,0,1,160,245,2500,2255,1.432,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1089.graphml,0,1,64,177,2500,2323,1.1865,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_109.graphml,18,18,18,97673,100000,2327,0.7775,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1090.graphml,0,1,64,177,2500,2323,0.8019,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1091.graphml,0,1,64,177,2500,2323,0.8034,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1092.graphml,25,55,37,61,2500,2439,2.1717,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1093.graphml,5,30,180,61,2500,2439,2.8129,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1094.graphml,0,0,0,2040,2500,460,0.3214,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1095.graphml,0,0,0,2040,2500,460,0.3671,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1096.graphml,0,775,288,0,3493,3493,1.3034, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1099.graphml,0,41,16,282,2500,2218,0.2232, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1100.graphml,0,41,16,282,2500,2218,0.3112, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1101.graphml,9,27,26,87,2500,2413,0.6658,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1107.graphml,9,28,94,282,2500,2218,1.0017,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1111.graphml,9,27,40,87,2500,2413,0.6772,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1114.graphml,9,27,26,87,2500,2413,0.6829,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1117.graphml,0,41,16,282,2500,2218,0.2595, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1118.graphml,25,30,8,420,2500,2080,0.1712,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1119.graphml,0,6,0,3385,10000,6615,0.8304,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_112.graphml,4,12,142,6094,100000,93906,0.6856,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1120.graphml,192,192,10432,368,5000,4632,0.8905, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1123.graphml,192,192,10432,368,5000,4632,0.8557, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1126.graphml,449,896,185,264,2500,2236,1.1928, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1128.graphml,0,4,1344,73,2500,2427,11.7687, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1129.graphml,0,4,1344,73,2500,2427,10.0618, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1130.graphml,57,112,185,264,2500,2236,0.4314, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1131.graphml,55,81,154,264,2500,2236,0.6186, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1132.graphml,0,4,192,73,2500,2427,1.0702, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1133.graphml,0,4,192,73,2500,2427,1.1207, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1134.graphml,224,352,385,181,2500,2319,18.9816, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1136.graphml,224,256,419,77,2500,2423,24.0741, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1138.graphml,1920,2016,1,19095,25000,5905,1.2012,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1139.graphml,110,110,0,23340,25000,1660,0.2589,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1140.graphml,160,5120,17,21138,25000,3862,0.9825,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1141.graphml,16,40,224,10,2500,2490,1.0513, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1142.graphml,16,40,224,10,2500,2490,0.4885, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1143.graphml,12,12,352,357,2500,2143,0.5639, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1144.graphml,12,12,352,357,2500,2143,0.6219, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1145.graphml,8,8,8,765,2500,1735,0.1664,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1146.graphml,8,8,8,765,2500,1735,0.1688,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1147.graphml,0,0,0,1007,5000,3993,0.0474,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1148.graphml,0,0,0,1415,2500,1085,0.1772,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1149.graphml,0,0,0,1415,2500,1085,0.1655,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1150.graphml,9,11,174,53,2500,2447,1.1967, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1151.graphml,48,58,0,4013,5000,987,0.4825,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1152.graphml,48,58,0,4013,5000,987,0.5246,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1153.graphml,39,39,193,31,2857,2826,1.0392, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1154.graphml,4,12,160,26,2857,2831,0.6258,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1155.graphml,4,12,160,26,2857,2831,0.6751,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1156.graphml,1944,7812,1976,13,2500,2487,0.2659, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1157.graphml,36,72,0,41,2500,2459,1.4932,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1158.graphml,36,72,0,41,2500,2459,1.4515,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1159.graphml,36,72,0,41,2500,2459,1.4833,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_116.graphml,256,512,41,11772,20000,8228,18.4943,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1160.graphml,5,5,0,696,2500,1804,0.2445,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1161.graphml,0,0,0,2500,2500,0,0.0627,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1162.graphml,20,80,4486,62,2500,2438,1.8066, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1163.graphml,20,80,12958,62,2500,2438,3.4201, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1164.graphml,20,80,12958,62,2500,2438,6.8928, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1165.graphml,9,27,0,549,2500,1951,0.408,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1166.graphml,0,0,0,1915,2500,585,0.9377,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1167.graphml,0,0,0,1915,2500,585,0.889,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1172.graphml,24,180,3330,38,2500,2462,11.8063,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1177.graphml,31,34,124,182,2500,2318,0.9749,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1178.graphml,22,22,22,169,2500,2331,0.4978,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1183.graphml,60,60,316,94,2500,2406,0.3491, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1184.graphml,24,52,64,821,5000,4179,4.3311,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1185.graphml,24,52,64,821,5000,4179,4.238,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1186.graphml,0,55,0,798,5000,4202,0.2713,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1187.graphml,0,55,0,798,5000,4202,0.2674,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1188.graphml,0,3,0,1422,10000,8578,0.1535,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1189.graphml,0,3,0,1422,10000,8578,0.1607,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_119.graphml,0,0,0,25000,25000,0,0.0426,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1190.graphml,31,249,230,14,2500,2486,0.7664, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1191.graphml,6,63,817,8,2500,2492,0.9731,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1192.graphml,6,63,817,8,2500,2492,0.9644,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1193.graphml,6,63,817,8,2500,2492,0.9572,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1194.graphml,19,63,336,116,2857,2741,0.9761, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1195.graphml,4,8,32,6533,10000,3467,0.7147,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1196.graphml,0,2,196,0,1388,1388,0.6141, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1197.graphml,0,2,196,0,1388,1388,0.5756, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1198.graphml,0,0,0,25000,25000,0,0.03,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1199.graphml,10,171,691,40,2500,2460,4.1025, 
