GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1059.graphml,130,194,1190,1508,5000,3492,1.1543, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1064.graphml,45,81,194,387,2857,2470,0.1835, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1065.graphml,0,65,290,14,2500,2486,0.1015, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1066.graphml,152,195,703,335,2500,2165,0.1694, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1068.graphml,152,195,703,335,2500,2165,0.0991, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1069.graphml,0,65,290,14,2500,2486,0.0672, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_107.graphml,25,90,880,98529,100000,1471,0.1634, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1070.graphml,24,44,64,1544,3333,1789,0.0402, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1071.graphml,37,108,545,76,2857,2781,0.1442, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1072.graphml,30,54,500,3330,5000,1670,0.1192, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1073.graphml,0,5,668,3967,5000,1033,0.2313, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1074.graphml,0,5,668,3967,5000,1033,0.3854, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1075.graphml,1,10,338,22,2777,2755,0.0627, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1076.graphml,0,24,36,491,1923,1432,0.0183, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1079.graphml,57,123,865,0,7147,7147,0.2088, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1081.graphml,0,24,36,491,1923,1432,0.0195, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1082.graphml,0,111,160,525,3333,2808,0.0291, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1083.graphml,0,1,8,2110,2500,390,0.0564, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1084.graphml,0,1,8,2110,2500,390,0.0528, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1085.graphml,0,1,8,2110,2500,390,0.0793, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1086.graphml,15,31,2687,643,2500,1857,0.1276, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1087.graphml,0,2,910,245,2500,2255,0.1403, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1088.graphml,0,2,910,245,2500,2255,0.127, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1089.graphml,0,2,84,177,2500,2323,0.2232, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_109.graphml,90,90,178,98529,100000,1471,0.0742, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1090.graphml,0,2,84,177,2500,2323,0.1421, 
