GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1065.graphml,0,63,153,14,2500,2486,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1066.graphml,38,77,217,133,2500,2367,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1068.graphml,38,77,217,133,2500,2367,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1069.graphml,0,63,153,14,2500,2486,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_107.graphml,5,18,240,97466,100000,2534,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1070.graphml,16,36,16,1277,3333,2056,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1071.graphml,19,90,144,60,2857,2797,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1072.graphml,15,33,120,2203,5000,2797,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1073.graphml,0,0,0,2710,5000,2290,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1074.graphml,0,0,0,2710,5000,2290,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1075.graphml,1,6,48,22,2777,2755,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1076.graphml,0,23,0,225,1923,1698,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1079.graphml,19,80,56,0,7147,7147,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1081.graphml,0,23,0,225,1923,1698,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1082.graphml,0,100,32,525,3333,2808,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1083.graphml,0,0,0,2110,2500,390,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1084.graphml,0,0,0,2110,2500,390,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1085.graphml,0,0,0,2110,2500,390,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1086.graphml,5,20,151,240,2500,2260,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1087.graphml,0,1,160,245,2500,2255,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1088.graphml,0,1,160,245,2500,2255,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1089.graphml,0,1,64,177,2500,2323,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_109.graphml,18,18,18,97673,100000,2327,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1090.graphml,0,1,64,177,2500,2323,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1091.graphml,0,1,64,177,2500,2323,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1092.graphml,25,55,37,61,2500,2439,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1093.graphml,5,30,180,61,2500,2439,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1094.graphml,0,0,0,2040,2500,460,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1095.graphml,0,0,0,2040,2500,460,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1096.graphml,0,775,168,0,3493,3493,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1099.graphml,0,40,16,252,2500,2248,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1100.graphml,0,40,16,252,2500,2248,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1101.graphml,9,27,26,87,2500,2413,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1107.graphml,9,28,43,193,2500,2307,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1111.graphml,9,27,40,87,2500,2413,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1114.graphml,9,27,26,87,2500,2413,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1117.graphml,0,40,16,252,2500,2248,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1118.graphml,25,30,8,420,2500,2080,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1119.graphml,0,6,0,3385,10000,6615,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_112.graphml,4,12,142,6094,100000,93906,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1120.graphml,128,128,64,933,5000,4067,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1123.graphml,128,128,64,933,5000,4067,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1126.graphml,304,624,409,591,2500,1909,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1128.graphml,0,3,992,73,2500,2427,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1129.graphml,0,3,992,73,2500,2427,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1130.graphml,38,78,185,591,2500,1909,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1131.graphml,37,54,130,264,2500,2236,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1132.graphml,0,3,128,73,2500,2427,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1133.graphml,0,3,128,73,2500,2427,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1134.graphml,224,352,113,386,2500,2114,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1136.graphml,224,256,138,77,2500,2423,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1138.graphml,1920,2016,1,19095,25000,5905,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1139.graphml,110,110,0,23340,25000,1660,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1140.graphml,160,5120,17,21138,25000,3862,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1141.graphml,8,40,32,10,2500,2490,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1142.graphml,8,40,32,10,2500,2490,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1143.graphml,12,12,128,167,2500,2333,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1144.graphml,12,12,128,167,2500,2333,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1145.graphml,8,8,8,500,2500,2000,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1146.graphml,8,8,8,500,2500,2000,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1147.graphml,0,0,0,1007,5000,3993,0,**
